00000a60,cF_P(6),0
00000a64,cdt_P(6),0
00000a68,ydiv(6),0
00000a6c,xdiv(6),0
00000a70,ave(6),0
00000a74,dp1(6),0
00000a78,dp2(6),0
00000a7c,dpr1(6),0
00000a80,dpr2(6),0
00000a84,Rotp(6),0
00000a88,jth(6),0
00000a8c,jthx(6),0
00000a90,jthr(6),0
00000a94,pth(6),0
00000a98,kaitensu(6),0
00000a9c,fy(6),0
00000aa0,fx(6),0
00000aa4,fya(6),0
00000aa8,fxa(6),0
00000aac,fyi(6),0
00000ab0,fxi(6),0
00000ab4,fy_2(6),0
00000ab8,fx_2(6),0
00000abc,fya_2(6),0
00000ac0,fxa_2(6),0
00000ac4,fyi_2(6),0
00000ac8,fxi_2(6),0
00000acc,LPF_ad_1(6),0
00000ad0,LPF_ad_2(6),0
00000ad4,kpPLL(6),0
00000ad8,kiPLL(6),0
00000adc,kpPLL_2(6),0
00000ae0,kiPLL_2(6),0
00000ae4,kpACR(6),0
00000ae8,kiACR(6),0
00000aec,kpACR_2(6),0
00000af0,kiACR_2(6),0
00000af4,Nref1(6),0
00000af8,N_LOW_MAX(6),0
00000afc,kpASR(6),0
00000b00,kiASR(6),0
00000b04,kpASR_2(6),0
00000b08,kiASR_2(6),0
00000b0c,dN_HI_P(6),0
00000b10,dN_HI_N(6),0
00000b14,cnt(6),0
00000b18,ic(6),0
00000b1c,ic_2(6),0
00000b20,m(6),0
00000b24,vr1_ad(6),0
00000b28,vr2_ad(6),0
00000b2c,f0(6),0
00000b30,f0_2(6),0
00000b34,ftau(6),0
00000b38,fdt(6),0
00000b3c,offset_u(6),0
00000b40,offset_v(6),0
00000b44,offset_w(6),0
00000b48,refi(6),0
00000b4c,refs(6),0
00000b50,Ra(6),0
00000b54,bmf(6),0
00000b58,Vout_est(6),0
00000b5c,Vout_ad(6),0
00000b60,Nrpm(6),0
00000b64,Nrpm_1(6),0
00000b68,Nrpm_s(6),0
00000b6c,Fe1(6),0
00000b70,We1(6),0
00000b74,THdc(6),0
00000b78,THdcV(6),0
00000b7c,dTHdc(6),0
00000b80,TH_hole(6),0
00000b84,dTH_hole(6),0
00000b88,Vdc0(6),0
00000b8c,Vqc0(6),0
00000b90,Vac0(6),0
00000b94,Vbc0(6),0
00000b98,Vac0_t(6),0
00000b9c,Vbc0_t(6),0
00000ba0,Vuc0(6),0
00000ba4,Vvc0(6),0
00000ba8,Vwc0(6),0
00000bac,Vuc1(6),0
00000bb0,Vvc1(6),0
00000bb4,Vwc1(6),0
00000bb8,Vzero(6),0
00000bbc,SIN0(6),0
00000bc0,COS0(6),0
00000bc4,THdc_err(6),0
00000bc8,THdcPLL(6),0
00000bcc,s_kiPLL(6),0
00000bd0,W1PLL(6),0
00000bd4,Iac0(6),0
00000bd8,Ibc0(6),0
00000bdc,Idc0(6),0
00000be0,Iqc0(6),0
00000be4,I_FB(6),0
00000be8,I_ref_d(6),0
00000bec,I_ref_q(6),0
00000bf0,I_ref_ASR(6),0
00000bf4,I_ref_q_ini(6),0
00000bf8,I_REF0(6),0
00000bfc,I_err_d(6),0
00000c00,I_err_q(6),0
00000c04,s_kiACR_d(6),0
00000c08,s_kiACR_q(6),0
00000c0c,mtest(6),0
00000c10,s_LPF_i(6),0
00000c14,k_LPF_i(6),0
00000c18,s_LPF_id0(6),0
00000c1c,k_LPF_id0(6),0
00000c20,s_LPF_iq0(6),0
00000c24,k_LPF_iq0(6),0
00000c28,s_LPF_vd0(6),0
00000c2c,k_LPF_vd0(6),0
00000c30,s_LPF_vq0(6),0
00000c34,k_LPF_vq0(6),0
00000c38,Nerr(6),0
00000c3c,s_kiASR(6),0
00000c40,Nref0(6),0
00000c44,Nrpm_ref(6),0
00000c48,Nrpm_ref0(6),0
00000c4c,s_LPF_N(6),0
00000c50,k_LPF_N(6),0
00000c54,s_LPF_N2(6),0
00000c58,k_LPF_N2(6),0
00000c5c,cnt_2(6),0
00000c60,m_2(6),0
00000c64,vr1_ad_2(6),0
00000c68,vr2_ad_2(6),0
00000c6c,offset_u_2(6),0
00000c70,offset_v_2(6),0
00000c74,offset_w_2(6),0
00000c78,refi_2(6),0
00000c7c,refs_2(6),0
00000c80,Ra_2(6),0
00000c84,bmf_2(6),0
00000c88,Vout_est_2(6),0
00000c8c,Vout_ad_2(6),0
00000c90,Nrpm_2(6),0
00000c94,Nrpm_1_2(6),0
00000c98,Nrpm_s_2(6),0
00000c9c,Fe1_2(6),0
00000ca0,We1_2(6),0
00000ca4,THdc_2(6),0
00000ca8,THdcV_2(6),0
00000cac,dTHdc_2(6),0
00000cb0,TH_hole_2(6),0
00000cb4,dTH_hole_2(6),0
00000cb8,Vdc0_2(6),0
00000cbc,Vqc0_2(6),0
00000cc0,Vac0_2(6),0
00000cc4,Vbc0_2(6),0
00000cc8,Vac0_t_2(6),0
00000ccc,Vbc0_t_2(6),0
00000cd0,Vuc0_2(6),0
00000cd4,Vvc0_2(6),0
00000cd8,Vwc0_2(6),0
00000cdc,Vuc1_2(6),0
00000ce0,Vvc1_2(6),0
00000ce4,Vwc1_2(6),0
00000ce8,Vzero_2(6),0
00000cec,SIN0_2(6),0
00000cf0,COS0_2(6),0
00000cf4,THdc_err_2(6),0
00000cf8,THdcPLL_2(6),0
00000cfc,s_kiPLL_2(6),0
00000d00,W1PLL_2(6),0
00000d04,Iac0_2(6),0
00000d08,Ibc0_2(6),0
00000d0c,Idc0_2(6),0
00000d10,Iqc0_2(6),0
00000d14,I_FB_2(6),0
00000d18,I_ref_d_2(6),0
00000d1c,I_ref_q_2(6),0
00000d20,I_ref_ASR_2(6),0
00000d24,I_ref_q_ini_2(6),0
00000d28,I_REF0_2(6),0
00000d2c,I_err_d_2(6),0
00000d30,I_err_q_2(6),0
00000d34,s_kiACR_d_2(6),0
00000d38,s_kiACR_q_2(6),0
00000d3c,mtest_2(6),0
00000d40,s_LPF_i_2(6),0
00000d44,k_LPF_i_2(6),0
00000d48,s_LPF_id0_2(6),0
00000d4c,k_LPF_id0_2(6),0
00000d50,s_LPF_iq0_2(6),0
